sample_id,psnr,ssim,lpips
10140071_10164_34804,37.05092198680929,0.9330828785896301,0.08560332655906677
10140071_10164_80696,30.74627308771365,0.8116829991340637,0.1387365460395813
10140071_11088_50820,35.5671498508043,0.8977975845336914,0.08957049250602722
10140071_11396_25872,34.624719205805825,0.880627453327179,0.1196829229593277
10140071_11396_43736,36.02042459578156,0.9075515866279602,0.10140320658683777
10140071_12012_52052,34.79235719113141,0.9156902432441711,0.09480273723602295
10140071_1232_64680,35.30510878246792,0.905942440032959,0.12040791660547256
10140071_12628_72996,31.088677337294254,0.8498881459236145,0.17383097112178802
10140071_12628_76384,32.43051340168653,0.867713451385498,0.129106804728508
10140071_12936_48972,33.99363440937791,0.8904187083244324,0.08200943470001221
10140071_12936_49588,35.74970891347709,0.9199360013008118,0.07194872945547104
10140071_12936_78232,34.63966455493812,0.8592538833618164,0.1569153070449829
10140071_13244_57596,36.353308882018375,0.9248342514038086,0.07584834098815918
10140071_14168_39116,34.03104260397674,0.8716164231300354,0.13504146039485931
10140071_14168_52052,33.39374062254508,0.8772847652435303,0.09177839756011963
10140071_14476_24024,36.0470415796102,0.9028715491294861,0.10228021442890167
10140071_14476_27720,35.27042016599374,0.9102805256843567,0.08900240063667297
10140071_14476_74844,34.748628338918834,0.8881516456604004,0.12708958983421326
10140071_14784_36960,34.840204284572835,0.8983070850372314,0.092951200902462
10140071_15400_61908,33.89707499553508,0.8758773803710938,0.11448891460895538
10140071_15400_67144,36.643950210219074,0.9109532833099365,0.10185803472995758
10140071_1540_32340,30.401836236937882,0.8554494976997375,0.12765279412269592
10140071_1540_44044,34.508779967786815,0.8693714141845703,0.1526651382446289
10140071_1540_49588,30.726154245030152,0.8732655048370361,0.08650676161050797
10140071_15708_53592,36.79032567936393,0.9150258898735046,0.10021716356277466
10140071_16324_77616,34.006780109867435,0.9052196145057678,0.08217234164476395
10140071_16940_30492,35.17318057756369,0.8932539820671082,0.10969039797782898
10140071_16940_48356,32.010134497195104,0.874603807926178,0.12369006127119064
10140071_17248_81004,33.09356425106809,0.8261792063713074,0.16529834270477295
10140071_17556_45276,33.7392877808785,0.8956999778747559,0.08348554372787476
10140071_17556_82544,34.21569265453657,0.8758863806724548,0.10177555680274963
10140071_17556_85624,32.16931558859649,0.8536262512207031,0.12225492298603058
10140071_17864_72688,33.21494007729133,0.8807210922241211,0.10322722047567368
10140071_17864_77924,33.54158891949779,0.8709461092948914,0.11210532486438751
